LIMS_Subspecies_id,SORTE,ZUECHTER,REIFEGRP,Reifegrp2011,Reifegrclass,KRAUTFL,Verwendung
2870,ALBATROS,NORIKA,mfr,mfr,3,3,
2673,ALEGRIA,NORIKA,mfr,mfr,3,5,Sp
2877,BURANA,SAKA,sp,msp-sp,5,4,Wi
382,DESIREE,LANGE,mfr,mfr,3,5,Sp
2854,ELDENA,EUROPLANT,mfr,mfr,3,5,Wi
2855,EUROBRAVO,EUROPLANT,sp,msp-sp,5,4,Wi
2856,EUROFLORA,EUROPLANT,sp,,5,,
2857,EURONOVA,EUROPLANT,sp,,5,,
2858,EURORESA,EUROPLANT,sp,msp-sp,5,4,Wi
2859,EUROSTARCH,EUROPLANT,sp,msp-sp,5,4,Wi
2860,EUROTANGO,EUROPLANT,sp,,5,,
2878,GOLF,SAKA,mfr,mfr,3,3,Wi
2869,JASIA,,mfr,msp-sp,5,3,Wi
2864,JUMBO,FIRLBECK,mfr,mfr,3,4,Wi
2871,KARLENA,NORIKA,fr,fr,2,6,Wi
2872,KIEBITZ,NORIKA,fr,fr,2,5,Wi
2873,KOLIBRI,NORIKA,fr,fr,2,6,Wi
2874,KORMORAN,NORIKA,sp,msp-sp,5,5,
,KUBA,NIEHOFF,mfr,mfr,3,4,
2861,KURAS,EUROPLANT,sp,msp-sp,5,,
2865,LOGO,FIRLBECK,sp,msp-sp,5,3,Wi
2866,MAXI,FIRLBECK,sp,msp-sp,5,5,Wi
2875,MAXILLA,NORIKA,sp,msp-sp,5,5,Wi
2674,MILVA,BERDING,mfr,,3,,Sp
2876,PIROL,NORIKA,mfr,mfr,3,6,Sp
,PONTO,EUROPLANT,mfr,,2,4,
2867,POWER,FIRLBECK,fr,fr,2,4,Wi
2879,PRIAMOS,SAKA,mfr,mfr,3,3,Wi
2880,RAMSES,SAKA,mfr,mfr,3,3,
2675,SATURNA,EUROPLANT,sp,mfr,3,4,Sp
2881,SIBU,SAKA,sp,msp-sp,5,4,Wi
2868,SOMMERGOLD,FIRLBECK,mfr,mfr,3,5,Wi
2863,TOMBA,EUROPLANT,sp,msp-sp,5,3,Wi
2862,TOMENSA,EUROPLANT,mfr,mfr,3,,Wi
2853,ULME,BAVARIA,sp,msp-sp,5,3,Wi
2882,VERDI,SAKA,mfr,mfr,3,3,Wi
