id	cultivar	breeder	reifegruppe	reifegrclass	krautfl	verwendung
382	DESIREE	LANGE	mfr	3	5	Sp
2673	ALEGRIA	NORIKA	mfr	3	5	Sp
2674	MILVA	BERDING	mfr	3	NA	Sp
2675	SATURNA	EUROPLANT	mfr	3	4	Sp
2853	ULME	BAVARIA	msp-sp	5	3	Wi
2854	ELDENA	EUROPLANT	mfr	3	5	Wi
2855	EUROBRAVO	EUROPLANT	msp-sp	5	4	Wi
2856	EUROFLORA	EUROPLANT	sp	5	NA	NA
2857	EURONOVA	EUROPLANT	sp	5	NA	NA
2858	EURORESA	EUROPLANT	msp-sp	5	4	Wi
2859	EUROSTARCH	EUROPLANT	msp-sp	5	4	Wi
2860	EUROTANGO	EUROPLANT	sp	5	NA	NA
2861	KURAS	EUROPLANT	msp-sp	5	NA	NA
2862	TOMENSA	EUROPLANT	mfr	3	NA	Wi
2863	TOMBA	EUROPLANT	msp-sp	5	3	Wi
2864	JUMBO	FIRLBECK	mfr	3	4	Wi
2865	LOGO	FIRLBECK	msp-sp	5	3	Wi
2866	MAXI	FIRLBECK	msp-sp	5	5	Wi
2867	POWER	FIRLBECK	fr	2	4	Wi
2868	SOMMERGOLD	FIRLBECK	mfr	3	5	Wi
2869	JASIA	NIEHOFF	msp-sp	5	3	Wi
2870	ALBATROS	NORIKA	mfr	3	3	NA
2871	KARLENA	NORIKA	fr	2	6	Wi
2872	KIEBITZ	NORIKA	fr	2	5	Wi
2873	KOLIBRI	NORIKA	fr	2	6	Wi
2874	KORMORAN	NORIKA	msp-sp	5	5	NA
2875	MAXILLA	NORIKA	msp-sp	5	5	Wi
2876	PIROL	NORIKA	mfr	3	6	Sp
2877	BURANA	SAKA	msp-sp	5	4	Wi
2878	GOLF	SAKA	mfr	3	3	Wi
2879	PRIAMOS	SAKA	mfr	3	3	Wi
2880	RAMSES	SAKA	mfr	3	3	NA
2881	SIBU	SAKA	msp-sp	5	4	Wi
2882	VERDI	SAKA	mfr	3	3	Wi
	PONTO	EUROPLANT	mfr	2	4	NA
	KUBA	NIEHOFF	mfr	3	4	NA
